candidate_id,group,trial,implementation,reference,static_score,mapping_id,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,execution_group_stages,group_threads,group_ept,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,direct_boundary,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft20-fp32_b16_p8s12_t128x256_e16x16_rec,fft20-fp32-batch16,2,fft20-fp32_b16_p8s12_t128x256_e16x16_rec,0,2386543.3993224264,fft20-fp32,2,8x12,128x256,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,8,12,128,256,16,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.646653,10188674714.226828,0.001339,1
fft20-fp32_b16_p10s10_t512x512_e8x8_rec,fft20-fp32-batch16,3,fft20-fp32_b16_p10s10_t512x512_e8x8_rec,0,4773086.798644853,fft20-fp32,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,10,10,512,512,8,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.916357,18308600435.156132,0.001466,1
fft20-fp32_b2_p11s9_t256x128_e8x16_rec,fft20-fp32-batch2,1,fft20-fp32_b2_p11s9_t256x128_e8x16_rec,0,509007.80142380524,fft20-fp32,2,11x9,256x128,8x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-large-online+cufftdx-online-shared,11,9,256,128,8,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.175247,11966810033.604259,0.001485,1
fft20-fp32_b16_cufft,fft20-fp32-batch16,2,cuFFT,1,0.0,fft20-fp32,0,,,,,,,2,9x11,,,vendor-baseline,0,0,0,0,0,0,none,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,20,1048576,16,100,50,0.720855,23274051029.743492,0.002107,1
fft20-fp32_b16_p9s11_t128x256_e16x8_rec,fft20-fp32-batch16,2,fft20-fp32_b16_p9s11_t128x256_e16x8_rec,0,3566171.2214231617,fft20-fp32,2,9x11,128x256,16x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,9,11,128,256,16,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.134285,14791007692.462622,0.001748,1
fft20-fp32_b8_p8s12_t128x256_e16x16_rec,fft20-fp32-batch8,1,fft20-fp32_b8_p8s12_t128x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,2,8x12,128x256,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,8,12,128,256,16,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.821432,10212171433.108576,0.001371,1
fft20-fp32_b8_p9s11_t128x256_e16x8_rec,fft20-fp32-batch8,3,fft20-fp32_b8_p9s11_t128x256_e16x8_rec,0,1783085.6107115808,fft20-fp32,2,9x11,128x256,16x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,9,11,128,256,16,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.578232,14507332379.835417,0.001716,1
fft20-fp32_b8_p8s12_t128x256_e16x16_rec,fft20-fp32-batch8,3,fft20-fp32_b8_p8s12_t128x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,2,8x12,128x256,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,8,12,128,256,16,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.775967,10810525706.745008,0.001371,1
fft18-fp32_b2_p10s8_t512x512_e16x16_rec,fft18-fp32-batch2,2,fft18-fp32_b2_p10s8_t512x512_e16x16_rec,0,81804.82522882584,fft18-fp32,2,10x8,512x512,16x16,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,10,8,512,512,16,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.038666,13559321728.476145,0.000637,1
fft20-fp32_b8_p10s10_t512x512_e8x8_rec,fft20-fp32-batch8,1,fft20-fp32_b8_p10s10_t512x512_e8x8_rec,0,2386543.3993224264,fft20-fp32,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,,,,cufftdx-online-shared+cufftdx-online-shared,10,10,512,512,8,8,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.455700,18408161152.283031,0.001485,1
